Model Name;More Info;Years;Cost;Production;Engine;Power;Torque;0-60 mph;Top Speed;Engine displacement;Engine configuration;Start Year;Power BHP;Top Speed [km/h];Torque [Nm];Cylinder count
Ferrari Mondial Cabriolet;https://www.supercars.net/blog/category/brand/ferrari/ferrari-mondial-quattrovalvole-cabriolet;1983 - 1985;;629 units;3,0 L Nat Asp V8;237 bhp @ 7000 rpm;191 lb/ft @ 5000 rpm;7.4 seconds;150 mph;3;V8;1983;237;241,40;258,96;8
Ferrari 3.2 Mondial;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-3-2-mondial/;1985 - 1988;;987 units;3,2 L Nat Asp V8;270 bhp @ 7000 rpm;224 lb/ft @ 5500 rpm;7.4 seconds;155 mph;3,2;V8;1985;270;249,45;303,70;8
Ferrari 3.2 Mondial Cabriolet;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-3-2-mondial/;1985 - 1988;;810 units;3,2 L Nat Asp V8;270 bhp @ 7000 rpm;224 lb/ft @ 5500 rpm;7.4 seconds;155 mph;3,2;V8;1985;270;249,45;303,70;8
Ferrari Mondial T;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-mondial-t/;1989 - 1993;;858 units;3,4 L Nat Asp V8;300 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;6.6 seconds;159 mph;3,4;V8;1989;300;255,89;322,68;8
Ferrari Mondial T Cabriolet;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-mondial/ferrari-mondial-t/;1989 - 1993;;1,017 units;3,4 L Nat Asp V8;300 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;6.6 seconds;159 mph;3,4;V8;1989;300;255,89;322,68;8
Ferrari Testarossa;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-testarossa/testarossa/;1984 - 1991;;7,177 units;4,9 L Nat Asp Flat-12;385 bhp @ 6,300 rpm;361 lb/ft @ 4500 rpm;5.8 seconds;180 mph;4,9;Flat-12;1984;385;289,68;489,45;12
Ferrari 512 TR;https://www.supercars.net/blog/category/brand/ferrari/ferrari-512-tr;1991 - 1994;;2,261 units;4,9 L Nat Asp Flat-12;422 bhp @ 6750 rpm;362 lb/ft @ 5500 rpm;4.8 seconds;195 mph;4,9;Flat-12;1991;422;313,82;490,81;12
Ferrari F512 M;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-testarossa/ferrari-f512-m/;1994 - 1996;;501 units;4,9 L Nat Asp Flat-12;434 bhp @ 6,750 rpm;370 lb/ft @ 5500 rpm;4.7 seconds;196 mph;4,9;Flat-12;1994;434;315,43;501,65;12
Ferrari 348 TB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-348/ferrari-348-tb/;1989 - 1993;;2,895 units;3,4 L Nat Asp V8;296 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;6.0 seconds;166 mph;3,4;V8;1989;296;267,15;322,68;8
Ferrari 348 TS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-348/ferrari-348-ts/;1989 - 1993;;4,230 units;3,4 L Nat Asp V8;296 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;46.0 seconds;166 mph;3,4;V8;1989;296;267,15;322,68;8
Ferrari 348 GTB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-348-gtb/;1993 - 1995;;252 units;3,4 L Nat Asp V8;316 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;5.4 seconds;174 mph;3,4;V8;1993;316;280,03;322,68;8
Ferrari 348 GTS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-348-gts/;1993 - 1995;;137 units;3,4 L Nat Asp V8;316 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;5.4 seconds;174 mph;3,4;V8;1993;316;280,03;322,68;8
Ferrari 348 Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-348-spider/;1993 - 1995;;1,090 units;3,4 L Nat Asp V8;316 bhp @ 7200 rpm;238 lb/ft @ 4200 rpm;5.4 seconds;174 mph;3,4;V8;1993;316;280,03;322,68;8
348 Serie Speciale;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-348/ferrari-348-serie-speciale//;1992 - 1993;;100 units;3,4 L Nat Asp V8;312 bhp @ 7,200 rpm;238 lb/ft @ 4200 rpm;5.3 seconds;171 mph;3,4;V8;1992;312;275,20;322,68;8
Ferrari F355;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/f355-berlinetta/;1994 - 1999;;3,829 units;3,5 L Nat Asp V8;375 bhp @ 8,250 rpm;268 lb/ft @ 6000 rpm;4.7 seconds;183 mph;3,5;V8;1994;375;294,51;363,36;8
Ferrari F355 GTS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/ferrari-f355-gts/;1995 - 1999;;2,577 units;3,5 L Nat Asp V8;375 bhp @ 8,250 rpm;268 lb/ft @ 6000 rpm;4.7 seconds;183 mph;3,5;V8;1995;375;294,51;363,36;8
Ferrari F355 Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/f355-spider/;1996 - 1999;;2,690 units;3,5 L Nat Asp V8;375 bhp @ 8,250 rpm;268 lb/ft @ 6000 rpm;4.7 seconds;175 mph;3,5;V8;1996;375;281,64;363,36;8
Ferrari F355 F1;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/f355-berlinetta/;1997 - 1999;;1,042 units;3,5 L Nat Asp V8;375 bhp @ 8,250 rpm;268 lb/ft @ 6000 rpm;4.7 seconds;183 mph;3,5;V8;1997;375;294,51;363,36;8
Ferrari F355 F1 GTS;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/ferrari-f355-gts/;1997 - 1999;;529 units;3,5 L Nat Asp V8;375 bhp @ 8,250 rpm;268 lb/ft @ 6000 rpm;4.7 seconds;183 mph;3,5;V8;1997;375;294,51;363,36;8
Ferrari F355 F1 Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f355/f355-spider/;1997 - 1999;;1,127 units;3,5 L Nat Asp V8;375 bhp @ 8,250 rpm;268 lb/ft @ 6000 rpm;4.7 seconds;175 mph;3,5;V8;1997;375;281,64;363,36;8
Ferrari 456 GT;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/;1992 - 1997;;1,548 units;5,5 L Nat Asp V12;436 bhp @ 4500 rpm;406 lb/ft @ 4250 rpm;5.2 seconds;186 mph;5,5;V12;1992;436;299,34;550,46;12
Ferrari 456 GTA;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/;1993 - 1997;;403 units;5,5 L Nat Asp V12;436 bhp @ 4500 rpm;406 lb/ft @ 4250 rpm;5.2 seconds;186 mph;5,5;V12;1993;436;299,34;550,46;12
Ferrari 456M GT;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/;1998 - 2003;;688 units;5,5 L Nat Asp V12;442 bhp @ 6250 rpm;406 lb/ft @ 4500 rpm;5.0 seconds;186 mph;5,5;V12;1998;442;299,34;550,46;12
Ferrari 456M GTA;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/;1998 - 2003;;650 units;5,5 L Nat Asp V12;442 bhp @ 6250 rpm;406 lb/ft @ 4500 rpm;5.0 seconds;186 mph;5,5;V12;1998;442;299,34;550,46;12
Ferrari 456M GT Scaglietti;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-456/ferrari-456m-gt-scaglietti/;2002 - 2003;;30 units;5,5 L Nat Asp V12;442 bhp @ 6250 rpm;406 lb/ft @ 4500 rpm;5.0 seconds;186 mph;5,5;V12;2002;442;299,34;550,46;12
Ferrari 550 Maranello;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-550/ferrari-550-maranello/;1996 - 2002;;3,083 units;5,5 L Nat Asp V12;478 bhp @ 7,000 rpm;419 lb/ft @ 5000 rpm;4.4 seconds;199 mph;5,5;V12;1996;478;320,26;568,09;12
Ferrari 550 Barchetta;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-550/ferrari-550-barchetta/;2001;;448 units;5,5 L Nat Asp V12;478 bhp @ 7,000 rpm;419 lb/ft @ 5000 rpm;4.4 seconds;186 mph;5,5;V12;2001;478;299,34;568,09;12
Ferrari 575M Maranello;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-575/ferrari-575m-maranello/;2002 - 2006;;2,056 units;5,7 L Nat Asp V12;508 bhp @ 7,250 rpm;434 lb/ft @ 5250 rpm;4.2 seconds;202 mph;5,7;V12;2002;508;325,09;588,42;12
Ferrari 612 Scaglietti;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-612/ferrari-612-scaglietti/;2004 - 2010;;3,025 units;5,7 L Nat Asp V12;533 bhp @ 7250 rpm;434 lb/ft @ 5250 rpm;4.0 seconds;199 mph;5,7;V12;2004;533;320,26;588,42;12
Ferrari 360 Modena;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-360/ferrari-360-modena/;1999 - 2005;;8,800 units;3,6 L Nat Asp V8;395 bhp @ 8500 rpm;275 lb/ft @ 4750 rpm;4.3 seconds;189 mph;3,6;V8;1999;395;304,17;372,85;8
Ferrari 360 Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-360/ferrari-360-spider/;2001 - 2005;;7,565 units;3,6 L Nat Asp V8;395 bhp @ 8500 rpm;275 lb/ft @ 4750 rpm;4.5 seconds;180 mph;3,6;V8;2001;395;289,68;372,85;8
Ferrari Challenge Stradale;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-360/ferrari-360-challenge-stradale/;2003 - 2004;;1,288 units;3,6 L Nat Asp V8;420 bhp @ 8500 rpm;275 lb/ft @ 4750 rpm;3.8 seconds;186 mph;3,6;V8;2003;420;299,34;372,85;8
Ferrari F430;https://www.supercars.net/blog/category/brand/ferrari/ferrari-f430-ferrari-f430/;2005 - 2009;;~6,280 units;4,3 L Nat Asp V8;483 bhp @ 8500 rpm;299 lb/ft @ 5250 rpm;3.6 seconds;196 mph;4,3;V8;2005;483;315,43;405,39;8
Ferrari F430 Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-f430-spider/;2006 - 2009;;~7,720 units;4,3 L Nat Asp V8;483 bhp @ 8500 rpm;299 lb/ft @ 5250 rpm;3.6 seconds;193 mph;4,3;V8;2006;483;310,60;405,39;8
Ferrari 430 Scuderia;https://www.supercars.net/blog/category/brand/ferrari/ferrari-f430-scuderia;2007 - 2010;;~2,500 units;4,3 L Nat Asp V8;503 bhp @ 8500 rpm;347 lb/ft @ 5250 rpm;3.6 seconds;198 mph;4,3;V8;2007;503;318,65;470,47;8
Ferrari Scuderia Spider 16M;https://www.supercars.net/blog/category/brand/ferrari/ferrari-f430-spider-16m/;2009 - 2010;;~499 units;4,3 L Nat Asp V8;503 bhp @ 8500 rpm;347 lb/ft @ 5250 rpm;3.6 seconds;198 mph;4,3;V8;2009;503;318,65;470,47;8
Ferrari 599 GTB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-599-gtb-fiorano/;2006 - 2012;;~4,000 units;6,0 L Nat Asp V12;612 bhp @ 7600 rpm;448 lb/ft @ 5600 rpm;3.2 seconds;205 mph;6;V12;2006;612;329,92;607,41;12
Ferrari 599 GTO;https://www.supercars.net/blog/category/brand/ferrari/ferrari-599-gto-ferrari-599;2010 - 2012;;599 units;6,0 L Nat Asp V12;661 bhp @ 8250 rpm;457 lb/ft @ 6500 rpm;3.3 seconds;208 mph;6;V12;2010;661;334,74;619,61;12
Ferrari SA APERTA;https://www.supercars.net/blog/category/brand/ferrari/ferrari-special-edition/ferrari-sa-aperta/;2010;;80 units;6,0 L Nat Asp V12;661 bhp @ 8250 rpm;457 lb/ft @ 6500 rpm;3.6 seconds;202 mph;6;V12;2010;661;325,09;619,61;12
Ferrari California;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-california/ferrari-california-ferrari-california/;2009 - 2012;;N/A;4,3 L Nat Asp V8;453 bhp @ 7750 rpm;358 lb/ft @ 5000 rpm;4.0 seconds;193 mph;4,3;V8;2009;453;310,60;485,38;8
Ferrari California 30;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-california/ferrari-california-30/;2012 - 2014;;N/A;4,3 L Nat Asp V8;483 bhp @ 7750 rpm;372 lb/ft @ 5000 rpm;3.8 seconds;194 mph;4,3;V8;2012;483;312,21;504,36;8
Ferrari California T;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-california/ferrari-california-t/;2015 - 2017;;N/A;3,9 L twin-turbo V8;553 hp @ 7500 rpm;557 lb/ft @ 4750 rpm;3.6 seconds;196 mph;3,9;V8;2015;553;315,43;755,19;8
Ferrari 458 Italia;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-458/ferrari-458-italia/;2010 - 2015;;N/A;4,5 L Nat Asp V8;562 hp @ 9000 rpm;394 lb/ft @ 6000 rpm;3.3 seconds;202 mph;4,5;V8;2010;562;325,09;534,19;8
Ferrari 458 Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-458/ferrari-458-spider/;2011 - 2015;;N/A;4,5 L Nat Asp V8;562 hp @ 9000 rpm;398 lb/ft @ 6000 rpm;3.3 seconds;202 mph;4,5;V8;2011;562;325,09;539,62;8
Ferrari 458 Speciale;https://www.supercars.net/blog/category/brand/ferrari/ferrari-458-speciale/;2013 - 2015;;~3,000 units;4,5 L Nat Asp V8;597 bhp @ 9000 rpm;398 lb/ft @ 6000 rpm;3.0 seconds;202 mph;4,5;V8;2013;597;325,09;539,62;8
Ferrari 458 Speciale A;https://www.supercars.net/blog/category/brand/ferrari/ferrari-458-speciale/;2014 - 2015;;499 units;4,5 L Nat Asp V8;597 bhp @ 9000 rpm;398 lb/ft @ 6000 rpm;3.0 seconds;202 mph;4,5;V8;2014;597;325,09;539,62;8
Ferrari 458 Italia China Edition;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-458/ferrari-458-italia-china-edition/;2012;;20 units;4,5 L Nat Asp V8;562 hp @ 9000 rpm;398 lb/ft @ 6000 rpm;3.3 seconds;202 mph;4,5;V8;2012;562;325,09;539,62;8
Ferrari FF;https://www.supercars.net/blog/category/brand/ferrari/ferrari-ff;2011 - 2016;;N/A;6,3 L Nat Asp V12;650 hp @ 8000 rpm;504 lb/ft @ 6000 rpm;3.7 seconds;208 mph;6,3;V12;2011;650;334,74;683,33;12
Ferrari GTC4Lusso;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-gtc4-lusso/;2016 - 2020;;N/A;6,3 L Nat Asp V12;681 bhp @ 8000 rpm;516 lb/ft @ 5750 rpm;3.4 seconds;208 mph;6,3;V12;2016;681;334,74;699,60;12
Ferrari GTC4Lusso T;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-gtc4-lusso/ferrari-gtc4-lusso-t/;2017 - 2020;;N/A;3,9 L twin-turbo V8;602 bhp @ 7500 rpm;561 lb/ft @ 3000 rpm;3.5 seconds;199 mph;3,9;V8;2017;602;320,26;760,61;8
Ferrari F12berlinetta;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f12/ferrari-f12berlinetta/;2012 - 2017;;N/A;6,3 L Nat Asp V12;730 bhp @ 8250 rpm;509 lb/ft @ 6000 rpm;3.1 seconds;211 mph;6,3;V12;2012;730;339,57;690,11;12
Ferrari F12tdf;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f12/ferrari-f12tdf/;2015 - 2017;;799 units;6,3 L Nat Asp V12;769 bhp @ 8500 rpm;520 lb/ft @ 6750 rpm;2.9 seconds;211 mph;6,3;V12;2015;769;339,57;705,03;12
Ferrari 488 GTB;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-488/;2015 - 2019;;N/A;3,9 L twin-turbo V8;661 bhp @ 8000 rpm;561 lb/ft @ 3000 rpm;3.0 seconds;205 mph;3,9;V8;2015;661;329,92;760,61;8
Ferrari 488 Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-488/ferrari-488-spider/;2016 - 2019;;N/A;3,9 L twin-turbo V8;661 bhp @ 8000 rpm;561 lb/ft @ 3000 rpm;3.0 seconds;202 mph;3,9;V8;2016;661;325,09;760,61;8
Ferrari 488 Pista;https://www.supercars.net/blog/2019-ferrari-488-pista-ferraris-most-powerful-v8-ever/;2018 - 2020;;N/A;3,9L twin-turbo V8;710 bhp @ 8000 rpm;568 lb/ft @ 3000 rpm;2.85 seconds;211 mph;3,9;V8;2018;710;339,57;770,10;8
Ferrari 488 Pista Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-488/ferrari-488-pista-spider/;2018 - 2020;;N/A;3,9 L twin-turbo V8;710 bhp @ 8000 rpm;568 lb/ft @ 3000 rpm;2.85 seconds;211 mph;3,9;V8;2018;710;339,57;770,10;8
Ferrari 488 Pista Piloti;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-488/ferrari-488-pista-piloti/;2020;;N/A;3,9 L twin-turbo V8;710 bhp @ 8000 rpm;568 lb/ft @ 3000 rpm;2.85 seconds;211 mph;3,9;V8;2020;710;339,57;770,10;8
Ferrari Portofino;https://www.supercars.net/blog/category/brand/ferrari/ferrari-portofino/;2017 - 2020;;N/A;3,9 L twin-turbo V8;591 bhp @ 7500 rpm;560 lb/ft @ 3000 rpm;3.5 seconds;199 mph;3,9;V8;2017;591;320,26;759,26;8
Ferrari 812 Superfast;https://www.supercars.net/blog/meet-ferrari-812-superfast/;2017 - 2024;US$340,712;N/A;6,5L naturally aspirated V12;789 hp @ 8500 rpm;530 lb-ft @ 7000 rpm;2.8 s;211 mph;6,5;V12;2017;789;339,57;718,58;12
Ferrari F40;https://www.supercars.net/blog/category/brand/ferrari/ferrari-f40/;1987 - 1992;;1,315;2,9L twin-turbo V8;478 bhp @ 7000 rpm;425 lb-ft @ 4,000 rpm;3.8 seconds;201 mph;2,9;V8;1987;478;323,48;576,22;8
Ferrari F50;https://www.supercars.net/blog/category/brand/ferrari/ferrari-f50/;1995 - 1997;;349;4,7L Tipo F130B V12;513 hp @ 8,500 rpm;347 lb-ft @ 6,500 rpm;3.7 seconds;202 mph;4,7;V12;1995;513;325,09;470,47;12
Ferrari Enzo;https://www.supercars.net/blog/category/brand/ferrari/ferrari-enzo/;2002 - 2004;;400;6,0L Tipo F140B V12;660 hp @ 7,800 rpm;485 lb-ft @ 5,500 rpm;3.1 seconds;217 mph;6;V12;2002;660;349,23;657,57;12
Ferrari LaFerrari;https://www.supercars.net/blog/category/brand/ferrari/ferrari-laferrari/;2013-2018 (inc. Aperta);;499, 210 (Aperta);6,3L V12 + Electric;950 bhp @ 9000rpm;664 lb-ft;2.7 seconds;217+ mph;6,3;V12 + Electric;2013;950;349,23;900,26;12
Ferrari 812 GTS;https://www.supercars.net/blog/ferrari-812-gts/;2019 - 2024;US$401,000;500 units;6,2L naturally aspirated V12;789 hp @ 8900 rpm;530 lb-ft @ 7000 rpm;2.9 s;211 mph;6,2;V12;2019;789;339,57;718,58;12
Ferrari SF90 Stradale;https://www.supercars.net/blog/category/brand/ferrari/ferrari-supercars/ferrari-sf90-stradale/;2019 - 2024;US$507,000;N/A;4,0L TT V8 + 3 electric;989 hp (combined);590 lb-ft;2.5 s;211 mph;4;V8 + 3 electric;2019;989;339,57;799,93;8
Ferrari SF90 Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-supercars/ferrari-sf90-spider/;2019 - 2024;US$557,000;N/A;4,0L TT V8 + 3 electric;989 hp (combined);590 lb-ft;2.5 s;211 mph;4;V8 + 3 electric;2019;989;339,57;799,93;8
Ferrari 296 GTB;https://www.supercars.net/blog/ferrari-296-gtb-an-in-depth-look/;2021 - present;US$322,986;N/A;2,9L TT V6 + Electric Motor;819 hp (combined);546 lb-ft;2.9 s;205 mph;2,9;V6 + Electric Motor;2021;819;329,92;740,28;6
Ferrari 296 GTS;https://www.supercars.net/blog/the-new-ferrari-296-gts/;2021 - present;≈ US$340,000;N/A;2,9L TT V6 + Electric Motor;819 hp (combined);546 lb-ft;2.9 s;205 mph;2,9;V6 + Electric Motor;2021;819;329,92;740,28;6
Ferrari F8 Tributo;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f8-tributo/;2019 - 2023;US$276,000;N/A;3,9L twin-turbo V8;710 hp @ 8000 rpm;568 lb-ft @ 3250 rpm;2.9 s;211 mph;3,9;V8;2019;710;339,57;770,10;8
Ferrari F8 Spider;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f8-tributo/ferrari-f8-tributo-spider/;2019 - 2023;US$274,000;N/A;3,9L twin-turbo V8;710 hp @ 8000 rpm;568 lb-ft @ 3250 rpm;2.9 s;211 mph;3,9;V8;2019;710;339,57;770,10;8
Ferrari Roma;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-roma/;2020 - 2024;US$222,630;N/A;3,9L twin-turbo V8;612 hp @ 7500 rom;560 lb-ft @ 3000 rpm;3.4 s;199 mph;3,9;V8;2020;612;320,26;759,26;8
Ferrari Portofino M;https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-portofino/ferrari-portofino-m/;2021 - 2023;US$245,000;N/A;3,9L twin-turbo V8;612 hp @ 7,500 rpm;560 lb-ft @ 3000 rpm;3.4 s;199 mph;3,9;V8;2021;612;320,26;759,26;8
Ferrari 812 Competizione;https://www.supercars.net/blog/2022-ferrari-812-competizione-competizione-a-an-in-depth-look/;2021 - present;US$601,570;N/A;6,5L naturally aspirated V12;819 hp @ 9,250 rpm;510 lb-ft @ 7,000 rpm;2.6 s;212 mph;6,5;V12;2021;819;341,18;691,47;12
Ferrari 812 Competizione A;https://www.supercars.net/blog/2022-ferrari-812-competizione-competizione-a-an-in-depth-look/;2021 - present;US$672,000;N/A;6,5L naturally aspirated V12;819 hp @ 9,250 rpm;510 lb-ft @ 7,000 rpm;2.85 s;212 mph;6,5;V12;2021;819;341,18;691,47;12
Ferrari Daytona SP3;https://www.supercars.net/blog/ferrari-daytona-sp3-a-closer-look/;2022 - present;US$2,250,000;599 units;6,5L naturally aspirated V12;829 hp @ 9,250 rpm;514 lb-ft @ 7,000 rpm;2.86 s;211 mph;6,5;V12;2022;829;339,57;696,89;12
Ferrari Monza SP1/SP2;https://www.supercars.net/blog/category/brand/ferrari/ferrari-supercars/ferrari-monza/;2019 - 2023;>US$1,800,000;499 units;6,5 L nat asp V12;810 bhp @ 8500 rpm;530 lb-ft @ 7000 rpm;< 3 sec (est);186 mph;6,5;V12;2019;810;299,34;718,58;12
