,Model Name,More Info,Base price,Engine,Power,Torque,0-60 mph,0-124 mph,Top Speed
0,Ferrari 812 GTS,https://www.supercars.net/blog/ferrari-812-gts/,"US$401,000",6.2L naturally aspirated V12,789 hp @ 8900 rpm,530 lb-ft @ 7000 rpm,2.9 s,8.3 s,211 mph
1,Ferrari SF90 Stradale,https://www.supercars.net/blog/category/brand/ferrari/ferrari-supercars/ferrari-sf90-stradale/,"US$507,000",4.0L TT V8 + 3 electric,989 hp (combined),590 lb-ft,2.5 s,6.7 s,211 mph
2,Ferrari SF90 Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-supercars/ferrari-sf90-spider/,"US$557,000",4.0L TT V8 + 3 electric,989 hp (combined),590 lb-ft,2.5 s,6.7 s,211 mph
3,Ferrari 296 GTB,https://www.supercars.net/blog/ferrari-296-gtb-an-in-depth-look/,"US$322,986",2.9L TT V6 + Electric Motor,819 hp (combined),546 lb-ft,2.9 s,7.3 s,205 mph
4,Ferrari 296 GTS,https://www.supercars.net/blog/the-new-ferrari-296-gts/,"â‰ˆ US$340,000",2.9L TT V6 + Electric Motor,819 hp (combined),546 lb-ft,2.9 s,7.6 s,205 mph
5,Ferrari F8 Tributo,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f8-tributo/,"US$276,000",3.9L twin-turbo V8,710 hp @ 8000 rpm,568 lb-ft @ 3250 rpm,2.9 s,7.8 s,211 mph
6,Ferrari F8 Spider,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-f8-tributo/ferrari-f8-tributo-spider/,"US$274,000",3.9L twin-turbo V8,710 hp @ 8000 rpm,568 lb-ft @ 3250 rpm,2.9 s,7.8 s,211 mph
7,Ferrari Roma,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-roma/,"US$222,630",3.9L twin-turbo V8,612 hp @ 7500 rom,560 lb-ft @ 3000 rpm,3.4 s,9.3 s,199 mph
8,Ferrari Portofino M,https://www.supercars.net/blog/category/brand/ferrari/ferrari-road-cars/ferrari-portofino/ferrari-portofino-m/,"US$245,000",3.9L twin-turbo V8,"612 hp @ 7,500 rpm",560 lb-ft @ 3000 rpm,3.4 s,9.3 s,199 mph
9,Ferrari 812 Competizione,https://www.supercars.net/blog/2022-ferrari-812-competizione-competizione-a-an-in-depth-look/,"US$601,570",6.5L naturally aspirated V12,"819 hp @ 9,250 rpm","510 lb-ft @ 7,000 rpm",2.6 s,7.0 s,212 mph
10,Ferrari 812 Competizione A,https://www.supercars.net/blog/2022-ferrari-812-competizione-competizione-a-an-in-depth-look/,"US$672,000",6.5L naturally aspirated V12,"819 hp @ 9,250 rpm","510 lb-ft @ 7,000 rpm",2.85 s,7.5 s,212 mph
11,Ferrari Daytona SP3,https://www.supercars.net/blog/ferrari-daytona-sp3-a-closer-look/,"US$2,250,000",6.5L naturally aspirated V12,"829 hp @ 9,250 rpm","514 lb-ft @ 7,000 rpm",2.86 s,7.4 s,211 mph
12,Ferrari Monza SP1,https://www.supercars.net/blog/category/brand/ferrari/ferrari-supercars/ferrari-monza/,">US$1,800,000",6.5 L nat asp V12,810 bhp @ 8500 rpm,530 lb-ft @ 7000 rpm,< 3 sec (est),< 8 sec (est),186 mph
13,Ferrari Monza SP2,https://www.supercars.net/blog/category/brand/ferrari/ferrari-supercars/ferrari-monza/,">US$1,800,000",6.5 L nat asp V12,810 bhp @ 8500 rpm,530 lb-ft @ 7000 rpm,< 3 sec (est),< 8 sec (est),186 mph
